,NatureAccident,ClassificationOfAccident,Fatal,Grevious,Minor,Injured,AccYear,AccDay
0,2,3,0,0,1,0,2019,12
1,2,2,0,2,0,0,2019,12
2,2,4,0,0,0,2,2019,12
4,2,1,1,0,0,0,2019,12
5,2,3,0,0,1,0,2019,12
6,2,4,0,1,0,2,2019,27
7,2,2,0,1,0,2,2019,26
8,2,2,0,2,0,0,2019,23
9,1,3,0,0,2,0,2019,22
10,2,2,0,0,1,0,2019,20
11,2,2,0,1,0,0,2019,19
12,2,3,0,0,1,0,2019,16
13,2,4,0,2,1,1,2019,15
14,2,3,0,2,1,1,2019,14
15,2,2,0,2,1,1,2019,13
16,2,2,1,5,0,0,2019,11
17,2,1,1,5,0,0,2019,11
18,2,3,0,0,1,0,2019,11
19,2,3,0,0,1,0,2019,11
20,2,2,0,2,0,0,2019,11
21,1,3,0,0,2,0,2019,11
22,2,2,0,0,1,0,2019,11
23,2,2,0,1,0,0,2019,11
24,2,3,0,0,1,0,2019,29
25,2,4,0,2,1,1,2019,28
26,2,3,0,2,1,1,2019,27
27,2,4,4,1,5,4,2019,20
28,2,4,3,5,2,1,2019,20
29,2,5,2,9,1,5,2019,20
30,3,5,1,6,2,4,2019,20
31,7,2,0,8,2,1,2019,20
32,3,2,4,1,2,1,2019,20
33,4,1,1,3,3,5,2019,19
34,4,1,0,7,2,1,2019,19
35,3,4,3,1,2,2,2019,19
36,1,2,3,7,1,1,2019,19
37,2,5,3,8,3,1,2019,18
38,3,3,2,6,2,2,2019,18
39,3,3,2,6,2,2,2019,18
40,3,3,2,6,2,2,2019,18
41,5,3,2,5,4,3,2019,17
42,5,4,3,3,5,3,2019,17
43,1,5,1,10,1,4,2019,17
44,3,2,0,10,1,4,2019,16
45,6,4,1,4,4,1,2019,16
46,6,4,1,4,4,1,2019,16
47,2,3,0,5,1,2,2019,16
48,6,4,1,4,4,1,2019,16
49,2,3,0,5,1,2,2019,16
50,5,3,4,4,3,2,2019,16
51,5,3,4,4,3,2,2019,16
52,8,1,4,4,4,4,2019,16
53,8,1,4,4,4,4,2019,16
54,6,5,3,8,4,4,2019,15
55,2,1,0,5,1,5,2019,15
56,5,5,2,9,2,2,2019,14
57,7,4,1,10,4,5,2019,14
58,7,5,2,2,3,3,2019,14
59,1,2,2,4,2,3,2019,14
60,1,4,2,10,1,3,2019,13
61,1,4,2,10,1,3,2019,13
62,1,4,2,10,1,3,2019,13
63,2,1,2,5,2,2,2019,13
64,2,4,4,9,5,3,2019,13
65,3,4,4,6,2,4,2019,13
66,4,5,4,4,1,1,2019,10
67,7,1,2,9,4,1,2019,10
68,1,1,2,2,2,1,2019,10
69,5,5,2,7,4,5,2019,10
70,1,1,0,7,5,4,2019,10
71,2,5,2,5,2,2,2019,10
72,2,5,2,5,2,2,2019,10
73,2,5,2,5,2,2,2019,10
74,3,4,3,4,1,3,2019,10
75,2,4,3,6,3,1,2019,10
76,4,2,2,9,3,4,2019,10
77,8,4,0,1,1,4,2019,10
78,6,5,4,3,1,5,2019,10
79,3,4,4,4,5,3,2019,10
80,5,5,3,7,5,4,2019,10
81,8,5,3,3,2,1,2019,10
82,8,1,1,7,2,4,2019,10
83,3,2,0,2,2,1,2019,10
84,4,1,0,8,5,3,2019,10
85,1,3,2,5,2,5,2019,10
86,7,1,1,6,4,3,2019,10
87,7,1,1,6,4,3,2019,10
88,8,4,1,1,4,2,2019,10
89,7,3,4,5,3,2,2019,10
90,1,3,3,7,1,5,2019,10
91,2,1,3,8,4,4,2019,10
92,2,1,3,8,4,4,2019,10
93,2,1,3,8,4,4,2019,10
94,8,1,2,8,5,3,2019,10
95,2,4,3,4,5,4,2019,10
96,6,1,0,4,2,2,2019,10
97,7,3,1,8,4,1,2019,10
98,2,4,2,5,3,2,2019,10
99,8,3,0,8,1,2,2019,10
100,1,2,3,6,2,5,2019,10
101,7,5,0,9,4,2,2019,10
102,7,5,0,9,4,2,2019,10
103,7,5,0,9,4,2,2019,10
104,5,5,3,3,5,1,2019,10
105,4,1,0,8,1,1,2019,10
106,6,5,3,6,1,2,2019,10
107,2,2,0,7,4,1,2019,10
108,2,3,1,10,4,5,2019,10
109,8,4,4,1,5,3,2019,10
110,8,4,4,1,5,3,2019,10
111,8,4,4,1,5,3,2019,10
112,4,4,0,2,4,4,2019,10
113,3,5,3,10,5,4,2019,10
114,4,3,1,5,3,5,2019,10
115,1,1,1,10,5,2,2019,10
116,2,4,1,1,3,1,2019,10
117,3,5,1,4,4,3,2019,10
118,6,1,2,7,5,5,2019,10
119,2,5,0,3,2,5,2019,10
120,5,4,2,9,4,2,2019,10
121,8,4,2,4,2,4,2019,10
122,6,4,2,2,3,3,2019,10
123,1,1,3,4,4,2,2019,10
124,6,3,4,9,3,5,2019,10
125,3,5,3,7,1,3,2019,10
126,5,3,4,7,3,4,2019,10
127,4,4,2,7,2,5,2019,10
128,4,4,2,7,2,5,2019,10
129,7,3,4,4,2,1,2019,10
130,7,3,4,4,2,1,2019,10
131,1,4,0,2,5,3,2019,10
132,7,3,4,8,4,1,2019,10
133,3,1,3,6,4,1,2019,10
134,5,5,2,5,5,1,2019,10
135,6,2,1,6,5,5,2019,10
136,6,2,1,6,5,5,2019,10
137,6,2,1,6,5,5,2019,10
138,4,3,4,7,4,5,2019,10
139,4,4,2,8,2,4,2019,10
140,8,1,0,9,3,5,2019,10
141,7,4,4,2,5,3,2019,10
142,8,4,3,7,4,2,2019,10
143,3,5,1,1,3,2,2019,10
144,3,5,1,1,3,2,2019,10
145,3,5,1,1,3,2,2019,10
146,4,4,3,2,1,4,2019,10
147,6,3,4,2,3,2,2019,10
148,6,5,4,5,1,4,2019,30
149,4,1,2,9,4,1,2019,30
150,2,4,3,8,3,5,2019,30
151,7,2,2,9,3,1,2019,30
152,8,1,4,2,3,5,2019,29
153,4,3,2,2,4,5,2019,29
154,3,2,2,9,2,4,2019,29
155,6,4,0,1,5,4,2019,29
156,1,2,1,5,5,2,2019,29
157,4,5,3,1,3,1,2019,28
158,2,3,3,4,3,5,2019,28
159,3,2,4,6,3,4,2019,28
160,8,1,2,5,3,5,2019,28
161,1,2,4,10,1,2,2019,28
162,1,2,4,10,1,2,2019,28
163,2,5,3,1,5,3,2019,27
164,2,1,1,6,3,3,2019,27
165,1,3,1,5,3,4,2019,26
166,8,5,3,8,3,1,2019,26
167,8,4,1,4,2,1,2019,26
168,6,3,1,7,3,3,2019,26
169,8,1,2,2,1,1,2019,26
170,3,1,2,10,2,3,2019,26
171,1,1,4,4,5,1,2019,26
172,1,3,3,7,2,3,2019,26
173,7,4,2,3,4,5,2019,25
174,5,3,4,10,4,5,2019,25
175,2,1,3,2,5,4,2019,25
176,5,1,0,3,5,4,2019,25
177,7,3,1,1,4,3,2019,25
178,7,3,1,6,2,2,2019,25
179,1,5,0,3,1,1,2019,25
180,1,1,2,2,3,1,2019,24
181,8,4,3,5,2,5,2019,24
182,6,4,2,4,1,5,2019,24
183,8,1,2,5,2,2,2019,24
184,3,2,4,5,2,4,2019,23
185,6,3,2,2,3,5,2019,23
186,5,2,0,5,5,2,2019,23
187,1,4,3,1,1,4,2019,23
188,8,5,0,3,2,4,2019,23
189,8,5,0,3,2,4,2019,23
190,8,5,0,3,2,4,2019,23
191,2,5,4,2,5,4,2019,23
192,4,4,1,1,5,1,2019,23
193,4,4,1,1,5,1,2019,23
194,4,4,1,1,5,1,2019,23
195,6,2,2,6,5,4,2019,22
196,4,3,4,7,5,2,2019,22
197,7,1,2,10,3,2,2019,22
198,1,3,1,3,4,1,2019,22
199,5,3,0,8,3,4,2019,22
200,1,5,2,2,5,3,2019,22
201,3,5,3,6,2,2,2019,21
202,8,5,1,5,3,1,2019,21
203,1,2,4,6,1,5,2019,21
204,3,4,1,10,2,5,2019,20
205,5,1,3,10,1,5,2019,20
206,1,4,2,1,1,4,2019,20
207,7,2,0,10,2,3,2019,20
208,6,4,1,1,3,3,2019,20
209,6,4,1,1,3,3,2019,20
210,6,4,1,1,3,3,2019,20
211,8,3,3,4,3,5,2019,19
212,6,3,2,8,1,3,2019,19
213,1,1,3,1,1,3,2019,19
214,4,4,1,7,4,5,2019,19
215,4,5,4,2,1,5,2019,19
216,2,1,2,4,2,2,2019,18
217,2,2,3,1,5,2,2019,18
218,6,1,2,4,2,5,2019,18
219,8,5,0,10,5,4,2019,18
220,5,4,3,4,5,5,2019,18
221,5,4,3,4,5,5,2019,18
222,5,4,3,4,5,5,2019,18
223,2,2,0,9,3,5,2019,17
224,6,1,0,5,4,2,2019,17
225,6,2,2,1,5,4,2019,17
226,3,1,1,7,5,1,2019,17
227,6,1,0,2,2,1,2019,16
228,7,5,1,10,3,5,2019,16
229,8,2,1,6,1,2,2019,16
230,1,1,3,4,3,4,2019,16
231,4,4,4,1,1,5,2019,16
232,1,1,3,4,3,4,2019,16
233,4,4,4,1,1,5,2019,16
234,1,1,3,4,3,4,2019,16
235,4,4,4,1,1,5,2019,16
236,2,1,1,3,3,3,2019,16
237,2,1,1,3,3,3,2019,16
238,2,1,1,3,3,3,2019,16
239,5,3,1,4,1,5,2019,15
240,3,1,3,5,2,1,2019,15
241,4,2,3,7,1,2,2019,15
242,4,5,1,1,3,3,2019,15
243,1,2,1,9,3,3,2019,15
244,6,4,1,8,2,5,2019,15
245,4,4,3,9,3,1,2019,14
246,5,5,4,5,1,3,2019,14
247,3,2,1,5,5,2,2019,14
248,2,4,3,4,4,5,2019,14
249,2,1,4,4,3,5,2019,14
250,8,4,3,1,3,3,2019,14
251,2,5,2,5,1,3,2019,14
252,6,5,0,9,1,3,2019,14
253,6,5,0,9,1,3,2019,14
254,6,5,0,9,1,3,2019,14
255,7,3,1,5,3,3,2019,13
256,1,2,3,6,1,3,2019,13
257,1,2,3,6,1,3,2019,13
258,1,2,3,6,1,3,2019,13
259,2,5,2,8,1,3,2019,13
260,2,4,0,9,2,5,2019,9
261,7,4,2,8,1,1,2019,9
262,7,2,0,7,3,1,2019,9
263,8,1,2,7,2,1,2019,9
264,4,3,0,4,3,5,2019,9
265,7,4,0,6,4,2,2019,9
266,7,5,1,7,3,1,2019,9
267,6,1,0,9,5,1,2019,9
268,3,5,4,3,5,5,2019,9
269,3,5,4,3,5,5,2019,9
270,3,5,4,3,5,5,2019,9
271,1,3,1,10,2,2,2019,9
272,7,4,3,3,3,5,2019,9
273,2,3,4,10,2,1,2019,9
274,7,2,1,9,4,2,2019,9
275,7,2,4,1,5,5,2019,9
276,5,1,4,1,2,5,2019,9
277,5,3,2,8,5,3,2019,9
278,2,5,4,7,3,1,2019,9
279,4,4,1,7,1,2,2019,9
280,5,5,2,9,5,5,2019,9
281,5,2,0,5,1,4,2019,9
282,6,1,0,3,5,2,2019,9
283,6,1,0,3,5,2,2019,9
284,2,3,3,8,2,1,2019,9
285,5,2,0,6,4,5,2019,9
286,7,5,2,7,2,3,2019,9
287,6,5,1,8,2,5,2019,9
288,4,1,2,4,5,3,2019,9
289,4,1,2,4,5,3,2019,9
290,4,1,2,4,5,3,2019,9
291,3,2,4,4,3,4,2019,9
292,6,5,2,3,4,3,2019,9
293,2,1,3,2,5,3,2019,9
294,5,5,0,10,2,3,2019,9
295,5,3,2,2,4,1,2019,9
296,7,5,1,6,5,5,2019,9
297,2,3,4,1,2,4,2019,9
298,6,3,1,10,1,1,2019,9
299,2,1,0,8,3,1,2019,9
300,4,2,4,8,2,2,2019,9
301,5,3,3,9,1,2,2019,9
302,4,4,3,2,1,4,2019,9
303,7,4,3,6,5,2,2019,9
304,1,1,0,8,2,5,2019,9
305,3,2,2,10,3,3,2019,9
306,7,4,0,4,1,5,2019,9
307,1,5,0,10,4,3,2019,9
308,3,3,1,9,2,1,2019,9
309,6,5,3,1,1,2,2019,9
